Date,UPI_VOL,UPI_VAL,IMPS_VOL,IMPS_VAL,NETC_VOL,NETC_VAL,NACH_VOL,NACH_VAL,NEFT_VOL,NEFT_VAL,RTGS_VOL,RTGS_VAL,DPI
2022-07-01,2110.38,43831.02,167.8,19535.73,88.41,146.41,175,15852.29,264.97,153549.14,7.24,729074.76,477.39
2022-07-02,4244.53,85939.83,332.5,37312.18,180.95,290.74,364,29440,398.89,228377.52,13.39,916475.42,562.53
2022-07-03,6294.04,118054.16,474.6,48892.35,274.51,434.92,410,31884.84,442.62,237884.98,13.95,921225.69,516.9
2022-07-04,8387.21,161049.48,643.9,67850.21,360.03,564.93,704,39550.14,602.15,342662.46,21.94,1449473.86,530.1
2022-07-05,10465.15,202506.07,807.5,85819.87,442.76,696.16,1004,59229.73,787.2,449157.86,29.69,1909826.52,538.24
2022-07-06,12558.59,242328.28,967.2,102689.88,527.87,831.3,1165,66487.28,964.24,561627.07,36.98,2393670.91,541.86
2022-07-07,14678.85,281952.51,1125.3,119524.91,612.97,968.33,1385,76986.76,1155.15,674999.19,44.5,2909662.64,544.45
2022-07-08,16758.43,319770.3,1284.4,135851.21,702.93,1108.61,1609,89199.73,1352.82,808124.78,52.54,3403754.53,549.49
2022-07-09,18859.14,355666.46,1440.7,149406.64,795.62,1247.61,1678,91191.66,1419.96,826142.08,54.08,3417890.62,531.69
2022-07-10,20791.58,382299.4,1568.3,158114.39,879.29,1373.08,1744,102279.17,1461.37,834591.16,54.56,3421869.62,513.86
2022-07-11,22792.54,419441.42,1723.8,173578.55,958.02,1489.79,1971,109830.29,1631.59,945130.37,63.57,3954365.19,515.07
2022-07-12,24803.75,454479.58,1876.5,188256.75,1038.08,1613.93,2086,115888.7,1778.51,1040642.2,71.42,4371202.99,513.63
2022-07-13,26793.25,488722.35,2023.2,202272.37,1121.16,1742.81,2222,122436.53,1919.41,1136613.92,78.66,4790980.33,512.85
2022-07-14,28816.83,523465.44,2171.4,216396.13,1201.65,1872.25,2357,127812.46,2049.14,1232528.07,86.01,5238774.92,513.34
2022-07-15,30835.83,557167.86,2325,230487.53,1287.24,2009.65,2597,140117.91,2187.62,1341143.72,93.59,5813258.13,516.8
2022-07-16,32849.39,589872.44,2469.8,243392.6,1377.22,2148.22,2738,146532.46,2290.59,1400905.83,99.52,5963488.45,510.84
2022-07-17,34824.87,614959.22,2598.6,251580.55,1465.43,2284.9,2747,146984.95,2334.61,1408474.75,100.03,5967613.67,499.29
2022-07-18,36805.08,648611.45,2748.2,266084.69,1548.11,2411.45,2826,156948.1,2475.29,1505959.1,108.11,6519118.73,500.83
2022-07-19,38802.23,681277.34,2887.1,280038.56,1628.86,2541.39,2894,161071.45,2602.3,1603416.14,115.8,6942088.61,501.1
2022-07-20,40862.3,715391.12,3034,294161.5,1711.63,2673.17,3024,168806.07,2730.34,1702414.05,123.29,7419580.56,503.02
2022-07-21,42857.89,747474.42,3165.2,307578.33,1794.15,2808.14,3136,174638.19,2849.7,1803278.66,130.49,7900438.36,504.41
2022-07-22,44842.76,778061.55,3301.7,320780.9,1879.5,2946.1,3262,183171.56,2978.7,1902501.63,138.4,8429622.23,504.93
2022-07-23,46803.91,807332.41,3451.6,332444.08,1967.79,3083.48,3321,184927.63,3040.48,1919198.17,139.93,8443133.75,497.82
2022-07-24,48726.3,830615.81,3576.6,340371.72,2056.4,3217.16,3325,185209.2,3082.16,1926050.66,140.4,8446749.74,489.63
2022-07-25,50690.17,863978.17,3724.9,356052.01,2136.06,3337.06,3509,192124.94,3223,2040479.13,149.87,9001400.67,491.66
2022-07-26,52641.31,895513.72,3864.1,370123.32,2215.6,3462.39,3703,199291.03,3346.18,2133633.14,157.74,9479386.75,491.83
2022-07-27,54672.13,927655.52,4013.7,384929.87,2298.83,3596.79,3812,205022.01,3468.98,2233049.99,165.5,9952269.16,493.05
2022-07-28,56643.2,958967.36,4162.87,399884.18,2382.86,3734.33,3955.43,212693.32,3605.01,2350259.77,173.16,10717484.17,496.39
2022-07-29,58683.03,994189.61,4312.84,416463.33,2468.66,3874.83,4116.56,220591.11,3812.27,2517224.1,181.48,11482699.17,501.93
2022-07-30,60815.22,1032565.45,4468.60,433093.89,2560.27,4019.47,4206.81,230852.67,3965.90,2615423.61,188.55,11544559.93,502.04
2022-07-31,62893.40,1063117.04,4608.30,444541.00,2651.52,4162.45,4220.00,231941.00,4018.39,2627353.96,189.26,11551439.68,497.68